,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95
Signature_1,0.10154572557204614,0.07389801489800787,0.4698643165946645,0.1681071590851944,0.5865910206530083,0.2146368454043163,0.11029619500457968,0.1488219350367753,0.09742095177156207,0.1298665379951741,0.16587831658808966,0.38681520902849703,0.02285160448564209,0.051197219292451926,0.23943272720778597,0.06762889540180918,0.19364146519127043,0.5004105903448559,0.09792147767833662,0.0969231002802138,0.16750761147039867,0.2818920440484804,0.14258377974713232,0.23560111828266092,0.133236534013076,0.1665259966622728,0.20986336852652931,0.2709906322849059,0.08053243109789189,0.21165443437124565,0.19803129498171806,0.36631063277979603,0.5799214102320502,0.06728815100552403,0.11508347297619835,0.131230744204356,0.20081999780817475,0.1973750112198139,0.20157150167302332,0.7673689600632997,0.027576445613983664,0.174871510603175,0.08991261648746451,0.2914831500288343,0.0682134197130985,0.3716277484987847,0.4379935225960066,0.25904664297785046,0.31457330499987735,0.10407046939188597,0.385322422540226,0.06912425104126799,0.4461372061434023,0.09244485019918293,0.020950545274827138,0.03612961561813533,0.12300387269199914,0.1297720682461002,0.05548416198829272,0.11340236129999055,0.8120161416721384,0.09939105348536642,0.05025172020398779,0.18393196285856744,0.19497434198035316,0.05347674624560036,0.026770842787253845,0.22767973542627493,0.14504545250232195,0.21037614626247808,0.1797095108657502,0.1478494203995068,0.36957760879187396,0.03403054016227605,0.04787806615480162,0.4462742844367079,0.293145497286903,0.2621004391048903,0.2367525439351571
Signature_2,0.6449715429065266,0.0245521446320802,0.06518990504598375,0.036966096309455736,0.19783536191037313,0.7562581078079742,0.062278115843257424,0.07392472083630441,0.013320036017199867,0.026882643234275628,0.04235935821576564,0.07431309864781947,0.04655723571105361,0.1579046527030666,0.09764170211958052,0.026673400704801613,0.09559127770560766,0.03268843195620556,0.003944166115569372,0.07298891603163002,0.9008015251007335,0.01989599690912365,0.009273652257317598,0.007070064866287409,0.1222431125779827,0.06687824264805911,0.14646495732705286,0.06011491913360232,0.003596762340664721,0.13913530568725946,0.17796907482750626,0.1571791934077311,0.07073478194821646,0.042984256781540116,0.012865230552666472,0.14328317712966931,0.1051596795557045,0.05472810545073798,0.13394439948135364,0.040473414115586824,0.040476137767998244,0.05784446797512179,0.056972965706919995,0.06263386654318372,0.03276206187808006,0.07996544347218512,0.061945813617846804,0.12123689202361294,0.15307732836283222,0.008374418342985742,0.33370694043283583,0.03034174586613151,0.05934630662930483,0.023734299995738686,0.0008902393910719887,0.006534859921786214,0.0656943275192451,0.05086348761766145,0.013646520156093661,0.03780817927887296,0.08514103908626827,0.040854381086102336,0.030093088763401925,0.07497236807371277,0.06636337360060186,0.02344631414387002,0.008674989909668624,0.13876707329261298,0.020077109436949497,0.07411401846902944,0.28291495667205785,0.046136326127512,0.06446173927701072,0.001902663652826354,0.00897012353448325,0.10516982852670267,0.1092680512011612,0.18938483437824213,0.10944436313118018
Signature_3,0.11603439620134598,0.018321170485056493,0.42323423719357117,0.6313178286538839,0.3000538422055001,0.10898351804893419,0.024715125187238413,0.05396860856273029,0.0586890554021257,0.05225761580575702,0.5790188422137531,0.15133906040602596,0.11368934606031629,0.031316741307195896,0.23845711483030665,0.2266918888410926,0.045491322873574346,0.11655587791905753,0.0620663881404911,0.2421295156233462,0.10734730453486586,0.14583796686305953,0.03372289839050898,0.02640519100075091,0.5499057970630763,0.06809829798617267,0.20264004925008586,0.060710150926083645,0.04215756157065122,0.059853698355167365,0.5155395152960172,0.2615366889525585,0.10751491879824661,0.054416889679637245,0.03597719373476613,0.664662009070355,0.06633857028578372,0.16828017867076578,0.1908486297549147,0.06466286243189681,0.025770817919613692,0.29079564846362427,0.3895521007210557,0.12109386016922502,0.3107203786473188,0.23584840762921808,0.47933533132572165,0.08463166964222624,0.17781800020562205,0.18954730199803216,0.15065510965743945,0.36560702378571924,0.1558995669762788,0.28665747523150803,0.1632043998040456,0.30169852985481216,0.5965370232806503,0.5977732129807585,0.2885636822489783,0.30237616334611,0.12444848003501409,0.13705652052781186,0.2120680339596551,0.1415938376526597,0.2838349035476716,0.15625213595755244,0.09812912182052454,0.08435295829287402,0.07981850041993327,0.08688193522607318,0.20725955921121544,0.06789886993850343,0.4839514559710317,0.018213867916876052,0.25053963894303316,0.2825228503247959,0.18941211024676893,0.46301368502927137,0.5942803848914967
Signature_4,0.2284037553746321,0.15589984370629237,0.32558513287690943,0.4207339987714757,0.3773091298797805,0.28391239647072203,0.27752033456804115,0.29711315532365623,0.07580076685055098,0.0861295417328423,0.3421258319000589,0.2718938145504867,0.6984446718874827,0.7299311345241152,0.7225105655230517,0.6773113743278041,0.23658566737061068,0.08025467869654414,0.15323349772214556,0.5320917359543388,0.21705423761125092,0.0855715095147976,0.03820686644068416,0.030209225039199105,0.6072489944857528,0.16579590048891904,0.2878084207600662,0.0916458872255254,0.027965688234958944,0.21924844636335108,0.32562577092619877,0.35444115819190003,0.08357161888629283,0.06884896220519356,0.10076298691591389,0.40219229276329405,0.26081933617155173,0.21395176742411615,0.2518944881560702,0.06921685541929845,0.023180841679166203,0.3055966112724695,0.6925260674585209,0.1120793349925552,0.22078269261931624,0.21260653448732778,0.44482550141292404,0.1638514157866517,0.37334606915289675,0.03809039448465589,0.2928544270099351,0.35061760912796014,0.1692511506649889,0.0919342079390541,0.0781108359104729,0.08177697455348441,0.1692370344265456,0.12742707748055176,0.3125947425173872,0.11037403753373667,0.05308453489224086,0.04771978089549512,0.7068124710433336,0.16104763035012654,0.1834299041729266,0.10548427740370041,0.0116293218390898,0.20206535147531973,0.07523384863976827,0.17279916903048204,0.29678755003978424,0.09987263268165099,0.31127426126573615,0.021405233030935136,0.2982090553728489,0.2776480512293334,0.21948251148086115,0.3596482305739167,0.5249618565079321
Signature_5,0.5491938115521262,0.1420758089406535,0.5617842489129229,0.2645049142048445,0.7304254814302722,0.5333844863495381,0.20960735602817931,0.29541781374335235,0.13645441732312036,0.2503533689271523,0.298804418594675,0.3877482705920959,0.027090855960172792,0.181749306639571,0.2564095468989333,0.07575494708841571,0.2911919453419659,0.4818250020700553,0.06136032525471055,0.1594495423720932,0.2756902328780927,0.35153988896692634,0.21015168006306748,0.0654425645453529,0.2444179387365732,0.3335052929619362,0.26360545924080614,0.303652359344565,0.16594112856700044,0.32581985180719986,0.2711193413175442,0.5728992169288187,0.5382592835590749,0.12199654236465672,0.06547173194778211,0.25816031282096064,0.3731318769498364,0.3731208502857185,0.4176970957337831,0.2477282315648768,0.07207326842926023,0.27964470784592443,0.14118088147658778,0.4544506991512346,0.10864250507840384,0.4073049247491556,0.5262765514052993,0.27457451868125304,0.3355187993092691,0.3515693811384974,0.44092611874377274,0.11130994180610253,0.5064368557847916,0.20089616481598033,0.02809659185765474,0.07616487913897652,0.27266622498947535,0.3530718508742943,0.08435580178255747,0.17872470977347396,0.5272169757315284,0.3696392709168137,0.06703546902837493,0.3090782822255477,0.3747334057610228,0.07374579285216434,0.2756369972913313,0.31373081483787946,0.2674214555601694,0.22790880538408967,0.6857911071545604,0.2663991225670539,0.5406990450094195,0.05100003067142543,0.07660255522904372,0.5986598378046984,0.3730797834241381,0.463145813560007,0.3000919458856045
